latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
32.5479,35.3374,325.2,1.8,1.3,2001-08-24,900,Terra,MODIS,29,6.03,307.3,18.7,D,0
31.4174,34.4678,333.6,1,1,2001-09-04,841,Terra,MODIS,77,6.03,311.7,17.4,D,0
32.6227,35.1386,324.8,1.1,1,2001-09-06,828,Terra,MODIS,48,6.03,308.7,9.2,D,0
31.7267,34.6745,325.7,1.1,1,2001-09-06,829,Terra,MODIS,63,6.03,310.8,8,D,0
31.436,34.8007,328.8,1,1,2001-09-13,834,Terra,MODIS,71,6.03,312.7,8.6,D,0
32.388,34.8804,324.7,1.3,1.1,2001-09-15,822,Terra,MODIS,49,6.03,305,14,D,0
31.5254,34.8126,327.9,1,1,2001-09-20,840,Terra,MODIS,68,6.03,312.6,8.6,D,0
31.4167,34.4367,325.3,1,1,2001-09-20,840,Terra,MODIS,63,6.03,310.5,7.4,D,0
31.5666,34.784,323.9,1,1,2001-09-20,840,Terra,MODIS,62,6.03,310.1,4.8,D,0
32.8966,35.8452,300.9,1.6,1.2,2001-09-23,2012,Terra,MODIS,35,6.03,290.6,9,N,0
32.885,35.8412,327.3,1.4,1.2,2001-09-24,815,Terra,MODIS,50,6.03,310.9,14.5,D,0
32.9164,35.8465,324.9,1.4,1.2,2001-09-24,815,Terra,MODIS,20,6.03,310.4,10.7,D,0
32.918,35.8316,333.6,1.4,1.2,2001-09-24,815,Terra,MODIS,77,6.03,311.9,28.3,D,0
32.942,35.6174,329,1,1,2001-09-29,834,Terra,MODIS,76,6.03,308.9,13.4,D,0
31.8485,34.8591,321.1,1.3,1.1,2001-10-04,852,Terra,MODIS,49,6.03,303.1,11.2,D,0
32.3326,34.9376,321.7,1.7,1.3,2001-10-11,858,Terra,MODIS,60,6.03,300.3,21.1,D,0
31.4715,34.6358,338.5,1,1,2001-10-15,834,Terra,MODIS,87,6.03,306.6,29.2,D,0
32.4379,34.8951,318,3.3,1.7,2001-10-16,916,Terra,MODIS,0,6.03,298,55.3,D,2
32.3812,34.9609,312.9,2.1,1.4,2001-10-18,904,Terra,MODIS,35,6.03,297,16,D,0
